Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
Православного	Православный	ADJ	gen,pos,masc,sing
Музея	Музей	PROPN	inan,gen,masc,sing
и	и	CCONJ	
посетить	посетить	VERB	perf,inf,act
Кафедральный	Кафедральный	ADJ	inan,acc,pos,masc,sing
Собор	собор	PROPN	inan,acc,masc,sing
.	.	PUNCT	
Многотысячный	Многотысячный	ADJ	nom,pos,masc,sing
коллектив	коллектив	NOUN	inan,nom,masc,sing
"	"	PUNCT	
Газпрома	Газпром	PROPN	
"	"	PUNCT	
денно	денно	ADV	pos
и	и	CCONJ	
нощно	нощно	ADV	pos
трудился	трудиться	VERB	imp,masc,ind,sing,past,fin,mid
над	над	ADP	
поставленной	ставить	ADJ	ins,pos,fem,sing
задачей	задача	NOUN	inan,ins,fem,sing
.	.	PUNCT	
Там	там	ADV	pos
оставалось	оставаться	VERB	imp,neut,ind,sing,past,fin,mid
еще	еще	ADV	pos
60	60	NUM	
сербских	сербский	ADJ	gen,pos,plur
сел	село	NOUN	inan,gen,neut,plur
.	.	PUNCT	
Мы	мы	PRON	nom,plur,1
шли	идти	VERB	imp,ind,plur,past,fin,act
в	в	ADP	
бой	бой	NOUN	inan,acc,masc,sing
вместе	вместе	ADV	pos
и	и	CCONJ	
готовы	готовый	ADJ	pos,plur,short
были	быть	AUX	imp,ind,plur,past,fin,act
пролить	пролить	VERB	perf,inf,act
кровь	кровь	NOUN	inan,acc,fem,sing
друг	друг	NOUN	anim,nom,masc,sing
за	за	ADP	
друга	друг	NOUN	anim,acc,masc,sing
.	.	PUNCT	
-	-	PUNCT	
Какие	какой	DET	nom,plur
впечатления	впечатление	NOUN	inan,nom,neut,plur
у	у	ADP	
вас	вы	PRON	gen,plur,2
остались	остаться	VERB	perf,ind,plur,past,fin,mid
от	от	ADP	
Москвы	Москва	PROPN	inan,gen,fem,sing
в	в	ADP	
1972	1972	NUM	
году	год	NOUN	inan,loc,masc,sing
?	?	PUNCT	
-	-	PUNCT	
По	по	ADP	
удивительному	удивительный	ADJ	dat,pos,neut,sing
стечению	стечение	NOUN	inan,dat,neut,sing
обстоятельств	обстоятельство	NOUN	inan,gen,neut,plur
ваш	ваш	DET	nom,masc,sing
олимпийский	олимпийский	ADJ	nom,pos,masc,sing
триумф	триумф	NOUN	inan,nom,masc,sing
идеально	идеально	ADV	pos
совпал	совпасть	VERB	perf,masc,ind,sing,past,fin,act
по	по	ADP	
времени	время	NOUN	inan,dat,neut,sing
с	с	ADP	
внедрением	внедрение	NOUN	inan,ins,neut,sing
современных	современный	ADJ	gen,pos,plur
поролоновых	поролоновый	ADJ	gen,pos,plur
матов	мат	NOUN	inan,gen,masc,plur
.	.	PUNCT	
Все	весь	DET	acc,neut,sing
поселение	поселение	NOUN	inan,acc,neut,sing
можно	можно	ADV	pos
обойти	обойти	VERB	perf,inf,act
неторопливым	неторопливый	ADJ	ins,pos,masc,sing
шагом	шаг	NOUN	inan,ins,masc,sing
за	за	ADP	
10	10	NUM	
минут	минута	NOUN	inan,gen,fem,plur
.	.	PUNCT	
Стабильное	стабильный	ADJ	nom,pos,neut,sing
взаимодействие	взаимодействие	NOUN	inan,nom,neut,sing
в	в	ADP	
нефтегазовом	нефтегазовый	ADJ	loc,pos,masc,sing
секторе	сектор	NOUN	inan,loc,masc,sing
является	являться	VERB	imp,ind,sing,3,pres,fin,mid
общим	общий	ADJ	ins,pos,masc,sing
вкладом	вклад	NOUN	inan,ins,masc,sing
России	Россия	PROPN	inan,gen,fem,sing
и	и	CCONJ	
Венгрии	Венгрия	PROPN	inan,gen,fem,sing
в	в	ADP	
обеспечение	обеспечение	NOUN	inan,acc,neut,sing
энергобезопасности	энергобезопасность	NOUN	inan,gen,fem,sing
Европы	Европа	PROPN	inan,gen,fem,sing
.	.	PUNCT	
При	при	ADP	
этом	это	PRON	inan,loc,neut,sing
работа	работа	NOUN	inan,nom,fem,sing
над	над	ADP	
реализаций	реализация	NOUN	inan,gen,fem,plur
проектов	проект	NOUN	inan,gen,masc,plur
жёстко	жёстко	ADV	pos
увязывалась	увязывать	VERB	imp,fem,ind,sing,past,fin,mid
с	с	ADP	
достижением	достижение	NOUN	inan,ins,neut,sing
на	на	ADP	
каждом	каждый	DET	loc,masc,sing
этапе	этап	NOUN	inan,loc,masc,sing
целевых	целевой	ADJ	gen,pos,plur
показателей	показатель	NOUN	inan,gen,masc,plur
.	.	PUNCT	
Наверняка	наверняка	ADV	pos
техника	техника	NOUN	inan,nom,fem,sing
была	быть	AUX	imp,fem,ind,sing,past,fin,act
бы	бы	AUX	
уже	уже	ADV	pos
не	не	PART	
та	тот	DET	nom,fem,sing
.	.	PUNCT	
Я	я	PRON	nom,sing,1
имею	иметь	VERB	imp,ind,sing,1,pres,fin,act
в	в	ADP	
виду	вид	NOUN	inan,loc,masc,sing
наше	наш	DET	acc,neut,sing
сотрудничество	сотрудничество	NOUN	inan,acc,neut,sing
в	в	ADP	
сфере	сфера	NOUN	inan,loc,fem,sing
энергетики	энергетика	NOUN	inan,gen,fem,sing
-	-	PUNCT	
первый	первый	ADJ	nom,pos,masc,sing
блок	блок	NOUN	inan,nom,masc,sing
Сангтудинской	Сангтудинский	ADJ	gen,pos,fem,sing
ГЭС	гэс	NOUN	inan,gen,fem,sing
станции	станция	NOUN	inan,gen,fem,sing
запущен	запустить	VERB	perf,masc,sing,past,short,part,pass
в	в	ADP	
январе	январь	NOUN	inan,loc,masc,sing
.	.	PUNCT	
В	в	ADP	
рамках	рамка	NOUN	inan,loc,fem,plur
национального	национальный	ADJ	gen,pos,masc,sing
проекта	проект	NOUN	inan,gen,masc,sing
13	13	NUM	
миллионов	миллион	NOUN	inan,gen,masc,plur
человек	человек	NOUN	anim,gen,masc,plur
смогли	мочь	VERB	perf,ind,plur,past,fin,act
пройти	пройти	VERB	perf,inf,act
диспансеризацию	диспансеризация	NOUN	inan,acc,fem,sing
,	,	PUNCT	
а	а	CCONJ	
60	60	NUM	
миллионам	миллион	NOUN	inan,dat,masc,plur
были	быть	AUX	imp,ind,plur,past,fin,act
сделаны	делать	VERB	perf,plur,past,short,part,pass
прививки	прививка	NOUN	inan,nom,fem,plur
.	.	PUNCT	
Оба	оба	NUM	nom,masc
работают	работать	VERB	imp,ind,plur,3,pres,fin,act
на	на	ADP	
влиятельную	влиятельный	ADJ	acc,pos,fem,sing
и	и	CCONJ	
известную	известный	ADJ	acc,pos,fem,sing
адвокатскую	адвокатский	ADJ	acc,pos,fem,sing
контору	контора	NOUN	inan,acc,fem,sing
«Bullie	«Bullie	PROPN	yes
Brake	Brake	PROPN	yes
&	&	PUNCT	
Desmay»	Desmay»	NOUN	inan,gen,fem,sing
и	и	CCONJ	
успешно	успешно	ADV	pos
продвигаются	продвигаться	VERB	imp,ind,plur,3,pres,fin,pass
по	по	ADP	
служебной	служебный	ADJ	dat,pos,fem,sing
лестнице	лестница	NOUN	inan,dat,fem,sing
.	.	PUNCT	
Некоторые	некоторый	DET	nom,plur
люди	человек	NOUN	anim,nom,masc,plur
испытывают	испытывать	VERB	imp,ind,plur,3,pres,fin,act
панические	панический	ADJ	nom,pos,plur
атаки	атака	NOUN	inan,nom,fem,plur
,	,	PUNCT	
которые	который	PRON	nom
характеризуются	характеризоваться	VERB	imp,ind,plur,3,pres,fin,mid
чрезвычайно	чрезвычайно	ADV	pos
сильным	сильный	ADJ	ins,pos,neut,sing
чувством	чувство	NOUN	inan,ins,neut,sing
страха	страх	NOUN	inan,gen,masc,sing
.	.	PUNCT	
Они	они	PRON	nom,plur,3
отнюдь	отнюдь	ADV	pos
не	не	PART	
редки	редкий	ADJ	pos,plur,short
.	.	PUNCT	
К	к	ADP	
третьей	третий	ADJ	loc,pos,fem,sing
неделе	неделя	NOUN	inan,loc,fem,sing
пациенты	пациент	NOUN	anim,nom,masc,plur
показывали	показывать	VERB	imp,ind,plur,past,fin,act
заметное	заметный	ADJ	acc,pos,neut,sing
улучшение	улучшение	NOUN	inan,acc,neut,sing
настроения	настроение	NOUN	inan,gen,neut,sing
в	в	ADP	
отличие	отличие	NOUN	inan,acc,neut,sing
от	от	ADP	
принимавших	принимать	VERB	perf,gen,plur,past,part,act
плацебо	плацебо	NOUN	inan,acc,neut,sing
.	.	PUNCT	
Высокий	высокий	ADJ	nom,pos,masc,sing
уровень	уровень	NOUN	inan,nom,masc,sing
эстрогена	эстроген	NOUN	inan,gen,masc,sing
и	и	CCONJ	
низкий	низкий	ADJ	nom,pos,masc,sing
прогестерона	прогестерон	NOUN	inan,nom,masc,plur
могут	мочь	VERB	imp,ind,plur,3,pres,fin,act
привести	привести	VERB	perf,inf,act
к	к	ADP	
предменструальному	предменструальный	ADJ	dat,pos,masc,sing
синдрому	синдром	NOUN	inan,dat,masc,sing
(	(	PUNCT	
ПМС	ПМС	PROPN	inan,nom,masc,sing
)	)	PUNCT	
с	с	ADP	
цикличной	цикличный	ADJ	ins,pos,fem,sing
депрессией	депрессия	NOUN	inan,ins,fem,sing
и	и	CCONJ	
беспокойством	беспокойство	NOUN	inan,ins,neut,sing
.	.	PUNCT	
Иногда	иногда	ADV	pos
колебания	колебание	NOUN	inan,nom,neut,plur
настроения	настроение	NOUN	inan,gen,neut,sing
и	и	CCONJ	
депрессия	депрессия	NOUN	inan,nom,neut,plur
могут	мочь	VERB	imp,ind,plur,3,pres,fin,act
быть	быть	AUX	imp,inf,act
результатом	результат	NOUN	inan,ins,masc,sing
слишком	слишком	ADV	pos
большого	большой	ADJ	gen,pos,masc,sing
стресса	стресс	NOUN	inan,gen,masc,sing
и	и	CCONJ	
истощения	истощение	NOUN	inan,gen,neut,sing
надпочечников	надпочечник	NOUN	inan,gen,masc,plur
.	.	PUNCT	
Первое	первый	ADJ	nom,pos,neut,sing
описание	описание	NOUN	inan,nom,neut,sing
этого	этот	DET	gen,neut,sing
члена	член	NOUN	inan,gen,neut,sing
семейства	семейство	NOUN	inan,gen,neut,sing
перечных	перечный	NOUN	inan,gen,fem,plur
появилось	появиться	VERB	perf,neut,ind,sing,past,fin,mid
в	в	ADP	
западных	западный	ADJ	loc,pos,plur
странах	страна	NOUN	inan,loc,fem,plur
после	после	ADP	
знаменитых	знаменитый	ADJ	gen,pos,plur
рейдов	рейд	NOUN	inan,gen,masc,plur
капитана	капитан	NOUN	anim,gen,masc,sing
Джеймса	Джеймс	PROPN	anim,gen,masc,sing
Кука	Кук	PROPN	anim,gen,masc,sing
в	в	ADP	
Южные	южный	ADJ	inan,acc,pos,plur
моря	море	NOUN	inan,acc,neut,plur
.	.	PUNCT	
Согласно	согласно	ADP	
данным	данные	NOUN	inan,dat,plur
Национального	национальный	ADJ	gen,pos,neut,sing
аутистического	аутистический	ADJ	gen,pos,neut,sing
общества	общество	NOUN	inan,gen,neut,sing
частота	частота	NOUN	inan,nom,fem,sing
аутизма	аутизм	NOUN	inan,gen,masc,sing
сейчас	сейчас	ADV	pos
может	мочь	VERB	imp,ind,sing,3,pres,fin,act
превышать	превышать	VERB	imp,inf,act
1	1	NUM	
случай	случай	NOUN	inan,nom,masc,sing
на	на	ADP	
каждые	каждый	DET	acc,plur
100	100	NUM	
детей	ребенок	NOUN	anim,gen,masc,plur
.	.	PUNCT	
Конечная	конечный	ADJ	nom,pos,fem,sing
цель	цель	NOUN	inan,nom,fem,sing
математики	математика	NOUN	inan,gen,fem,sing
—	—	PUNCT	
вообще	вообще	ADV	pos
избавиться	избавиться	VERB	perf,inf,mid
от	от	ADP	
необходимости	необходимость	NOUN	inan,gen,fem,sing
о	о	ADP	
чем-либо	чем-либо	ADV	pos
думать	думать	VERB	imp,inf,act
.	.	PUNCT	
В	в	ADP	
том	то	PRON	inan,loc,neut,sing
-	-	PUNCT	
то	тот	DET	nom,neut,sing
и	и	PART	
дело	дело	NOUN	inan,nom,neut,sing
,	,	PUNCT	
что	что	SCONJ	
,	,	PUNCT	
кроме	кроме	ADP	
действительных	действительный	ADJ	gen,pos,plur
чисел	число	NOUN	inan,gen,neut,plur
,	,	PUNCT	
достаточно	достаточный	ADJ	pos,neut,sing,short
изобрести	изобрести	VERB	perf,inf,act
только	только	PART	
одно	один	NUM	acc,neut
число	число	NOUN	inan,acc,neut,sing
—	—	PUNCT	
квадратный	квадратный	ADJ	inan,acc,pos,masc,sing
корень	корень	NOUN	inan,acc,masc,sing
из	из	ADP	
—	—	PUNCT	
1	1	NUM	
,	,	PUNCT	
после	после	ADP	
этого	это	PRON	inan,gen,neut,sing
можно	можно	ADV	pos
решить	решить	VERB	perf,inf,act
любое	любой	DET	acc,neut,sing
алгебраическое	алгебраический	ADJ	acc,pos,neut,sing
уравнение	уравнение	NOUN	inan,acc,neut,sing
]	]	PUNCT	
Возможные	возможный	ADJ	nom,pos,plur
состояния	состояние	NOUN	inan,nom,neut,plur
электронов	электрон	NOUN	inan,gen,masc,plur
определяются	определять	VERB	imp,ind,plur,3,pres,fin,pass
различными	различный	ADJ	ins,pos,plur
энергетическими	энергетический	ADJ	ins,pos,plur
подуровнями	подуровень	NOUN	inan,ins,fem,plur
,	,	PUNCT	
которые	который	PRON	nom
носят	носить	VERB	imp,ind,plur,3,pres,fin,act
название	название	NOUN	inan,acc,neut,sing
орбиталей	орбиталь	NOUN	inan,gen,masc,plur
.	.	PUNCT	
Указанный	указать	VERB	perf,nom,masc,sing,past,part,pass
выше	высоко	ADV	cmp
вызов	вызов	NOUN	inan,nom,masc,sing
функции	функция	NOUN	inan,gen,fem,sing
вернет	вернуть	VERB	perf,ind,sing,3,fut,fin,act
все	весь	DET	acc,plur
SNMP	SNMP	PROPN	yes
объекты	объект	NOUN	inan,acc,masc,plur
из	из	ADP	
SNMP	SNMP	PROPN	
агента	агент	NOUN	inan,gen,masc,sing
,	,	PUNCT	
напущенного	напущить	VERB	perf,gen,masc,sing,past,part,pass
на	на	ADP	
локальном	локальный	ADJ	loc,pos,masc,sing
хосте	хост	NOUN	inan,loc,masc,sing
.	.	PUNCT	
Эта	этот	DET	nom,fem,sing
группа	группа	NOUN	inan,nom,fem,sing
включает	включать	VERB	imp,ind,sing,3,pres,fin,act
щелочные	щелочный	ADJ	inan,acc,pos,plur
металлы	металл	NOUN	inan,acc,masc,plur
натрий	натрий	NOUN	inan,gen,fem,plur
(	(	PUNCT	
Na	Na	PROPN	yes
)	)	PUNCT	
и	и	CCONJ	
калий	калий	NOUN	inan,masc
(	(	PUNCT	
К	К	PROPN	inan,nom,masc,sing
)	)	PUNCT	
,	,	PUNCT	
щелочноземельные	щелочноземельный	ADJ	inan,acc,pos,plur
металлы	металл	NOUN	inan,acc,masc,plur
магний	магний	NOUN	inan,nom,masc,sing
(	(	PUNCT	
Мg	Мg	PROPN	yes
)	)	PUNCT	
и	и	CCONJ	
кальций	кальций	NOUN	inan,acc,masc,sing
(	(	PUNCT	
Са	С	PROPN	
)	)	PUNCT	
.	.	PUNCT	
Это	это	PRON	inan,nom,neut,sing
сразу	сразу	ADV	pos
говорит	говорить	VERB	imp,ind,sing,3,pres,fin,act
нам	мы	PRON	dat,plur,1
,	,	PUNCT	
что	что	PRON	nom
такое	такой	DET	nom,neut,sing
момент	момент	NOUN	inan,nom,masc,sing
количественно	количественно	ADV	pos
.	.	PUNCT	
Собачка	собачка	NOUN	inan,nom,fem,sing
нужна	нужный	ADJ	pos,fem,sing,short
к	к	ADP	
празднику	праздник	NOUN	anim,dat,masc,sing
!	!	PUNCT	
Он	он	PRON	nom,masc,sing,3
полагал	полагать	VERB	imp,masc,ind,sing,past,fin,act
,	,	PUNCT	
что	что	SCONJ	
римлян	римлянин	NOUN	anim,acc,masc,plur
сгубило	губить	VERB	perf,neut,ind,sing,past,fin,act
избыточное	избыточный	ADJ	acc,pos,neut,sing
честолюбие	честолюбие	NOUN	inan,acc,neut,sing
.	.	PUNCT	
ЕНЛ	Енл	NOUN	inan,nom,masc,sing
-	-	PUNCT	
1	1	NUM	
получают	получать	VERB	imp,ind,plur,3,pres,fin,act
общенациональные	общенациональный	ADJ	nom,pos,plur
и	и	CCONJ	
крупные	крупный	ADJ	nom,pos,plur
региональные	региональный	ADJ	nom,pos,plur
газеты	газета	NOUN	inan,nom,fem,plur
и	и	CCONJ	
телекомпании	телекомпания	NOUN	inan,nom,fem,plur
,	,	PUNCT	
агентства	агентство	NOUN	inan,nom,neut,plur
,	,	PUNCT	
иностранные	иностранный	ADJ	nom,pos,plur
дипломатические	дипломатический	ADJ	nom,pos,plur
представительства	представительство	NOUN	inan,nom,neut,plur
в	в	ADP	
России	Россия	PROPN	inan,loc,fem,sing
.	.	PUNCT	
Телевизионные	телевизионный	ADJ	nom,pos,plur
Web	Веб	PROPN	inan,nom,masc,sing
-	-	PUNCT	
технологии	технология	NOUN	inan,nom,fem,plur
развиваются	развиваться	VERB	imp,ind,plur,3,pres,fin,mid
в	в	ADP	
нашей	наш	DET	loc,fem,sing
стране	страна	NOUN	inan,loc,fem,sing
с	с	ADP	
некоторым	некоторый	DET	ins,neut,sing
опозданием	опоздание	NOUN	inan,ins,neut,sing
.	.	PUNCT	
Недели	неделя	VERB	perf,ind,plur,past,fin,act
через	через	ADP	
две	два	NUM	inan,acc,fem
-	-	PUNCT	
три	три	NUM	inan,acc
,	,	PUNCT	
не	не	PART	
раньше	рано	ADV	cmp
.	.	PUNCT	
Такой	такой	DET	gen,fem,sing
птицы	птица	NOUN	anim,gen,fem,sing
не	не	PART	
водилось	водиться	VERB	imp,neut,ind,sing,past,fin,mid
в	в	ADP	
здешних	здешний	ADJ	loc,pos,plur
местах	место	NOUN	inan,loc,neut,plur
.	.	PUNCT	
Здесь	здесь	ADV	pos
он	он	PRON	nom,masc,sing,3
не	не	PART	
отказал	отказывать	VERB	perf,masc,ind,sing,past,fin,act
себе	себя	PRON	dat
в	в	ADP	
удовольствии	удовольствие	NOUN	inan,loc,neut,sing
заранее	заранее	ADV	pos
злорадно	злорадно	ADJ	pos,neut,sing,short
вообразить	вообразить	VERB	perf,inf,act
,	,	PUNCT	
как	как	ADV	pos
будет	быть	AUX	imp,ind,sing,3,pres,fin,act
сходить	сойти	VERB	imp,inf,act
со	с	ADP	
сцены	сцена	NOUN	inan,gen,fem,sing
премьер	премьер	NOUN	anim,nom,masc,sing
Борзых	Борзый	ADJ	gen,pos,plur
.	.	PUNCT	
Булькнуло	булькнуть	VERB	perf,neut,ind,sing,past,fin,act
,	,	PUNCT	
екнуло	екнуть	VERB	perf,neut,ind,sing,past,fin,act
,	,	PUNCT	
порскнуло	порскнуть	VERB	perf,neut,ind,sing,past,fin,act
,	,	PUNCT	
ахнуло	ахнуть	VERB	perf,neut,ind,sing,past,fin,act
-	-	PUNCT	
лучше	хорошо	ADV	cmp
гляди	глядеть	VERB	imp,imp,sing,2,fin,act
!	!	PUNCT	
-	-	PUNCT	
сзади	сзади	ADV	pos
,	,	PUNCT	
наверху	наверху	ADV	pos
,	,	PUNCT	
вниз	вниз	ADV	pos
головой	голова	NOUN	inan,ins,fem,sing
,	,	PUNCT	
пропало	пропасть	VERB	perf,neut,ind,sing,past,fin,act
,	,	PUNCT	
нету	нет	VERB	imp,ind,sing,3,pres,fin,act
!	!	PUNCT	
И	и	CCONJ	
Пэт	Пэт	PROPN	anim,nom,fem,sing
выла	выть	VERB	imp,fem,ind,sing,past,fin,act
от	от	ADP	
злости	злость	NOUN	inan,gen,fem,sing
:	:	PUNCT	
ее	ее	DET	
Грегори	Грегори	PROPN	anim,nom,masc,sing
-	-	PUNCT	
-	-	PUNCT	
ее	она	PRON	gen,fem,sing,3
лучезарный	лучезарный	ADJ	nom,pos,masc,sing
муж	муж	NOUN	anim,nom,masc,sing
-	-	PUNCT	
-	-	PUNCT	
был	быть	AUX	imp,masc,ind,sing,past,fin,act
тоже	тоже	PART	
во	в	ADP	
власти	власть	NOUN	inan,loc,fem,sing
этого	этот	DET	gen,masc,sing
всемогущего	всемогущий	ADJ	gen,pos,masc,sing
