Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
жировой	жировой	ADJF	masc,sing,nomn
жировой	жировой	ADJF	inan,masc,sing,accs
жировой	жировой	ADJF	femn,sing,gent
жировой	жировой	ADJF	femn,sing,datv
жировой	жировой	ADJF	femn,sing,ablt
жировой	жировой	ADJF	femn,sing,loct
клетчатке	клетчатка	NOUN	inan,femn,sing,datv
клетчатке	клетчатка	NOUN	inan,femn,sing,loct
.	.	PNCT	
золотовалютные	золотовалютный	ADJF	plur,nomn
золотовалютные	золотовалютный	ADJF	inan,plur,accs
резервы	резерв	NOUN	inan,masc,plur,nomn
резервы	резерв	NOUN	inan,masc,plur,accs
увеличились	увеличиться	VERB	perf,intr,plur,past,indc
на	на	PREP	
170	170	NUMB	intg
миллиардов	миллиард	NOUN	inan,masc,plur,gent
долларов	доллар	NOUN	inan,masc,plur,gent
и	и	CONJ	
приближаются	приближаться	VERB	impf,intr,plur,3per,pres,indc
к	к	PREP	
отметке	отметка	NOUN	inan,femn,sing,loct
отметке	отметка	NOUN	inan,femn,sing,datv
в	в	PREP	
полтриллиона	полтриллион	NOUN	inan,masc,sing,gent
полтриллиона	полтриллион	NOUN	inan,masc,sing,gent
долларов	доллар	NOUN	inan,masc,plur,gent
сша	сша	NOUN	inan,GNdr,Pltm,Fixd,Geox,plur,gent
сша	сша	NOUN	inan,GNdr,Pltm,Fixd,Geox,plur,loct
сша	сша	NOUN	inan,GNdr,Pltm,Fixd,Geox,plur,nomn
сша	сша	NOUN	inan,GNdr,Pltm,Fixd,Geox,plur,accs
сша	сша	NOUN	inan,GNdr,Pltm,Fixd,Geox,plur,ablt
сша	сша	NOUN	inan,GNdr,Pltm,Fixd,Geox,plur,datv
-	-	PNCT	
точнее	точнее	CONJ	Prnt
точнее	точный	COMP	Qual
,	,	PNCT	
478,6	478,6	NUMB	real
,	,	PNCT	
по	по	PREP	
последним	последний	ADJF	plur,datv
последним	последний	ADJF	masc,sing,ablt
последним	последний	ADJF	neut,sing,ablt
данным	данные	NOUN	inan,GNdr,Pltm,plur,datv
данным	дать	PRTF	perf,tran,past,pssv,masc,sing,ablt
данным	дать	PRTF	perf,tran,past,pssv,neut,sing,ablt
данным	дать	PRTF	perf,tran,past,pssv,plur,datv
данным	данный	ADJF	Apro,masc,sing,ablt
данным	данный	ADJF	Apro,neut,sing,ablt
данным	данный	ADJF	Apro,plur,datv
(	(	PNCT	
чуть-чуть	чуть-чуть	ADVB	
понижение	понижение	NOUN	inan,neut,sing,nomn
понижение	понижение	NOUN	inan,neut,sing,accs
произошло	произойти	VERB	perf,intr,neut,sing,past,indc
в	в	PREP	
связи	связь	NOUN	inan,femn,sing,loc2
связи	связь	NOUN	inan,femn,sing,gent
связи	связь	NOUN	inan,femn,sing,datv
связи	связь	NOUN	inan,femn,sing,loct
связи	связь	NOUN	inan,femn,plur,nomn
связи	связь	NOUN	inan,femn,plur,accs
с	с	PREP	
изменением	изменение	NOUN	inan,neut,sing,ablt
курса	курс	NOUN	inan,masc,sing,gent
доллара	доллар	NOUN	inan,masc,sing,gent
)	)	PNCT	
.	.	PNCT	
это	это	PRCL	
это	это	NPRO	neut,sing,nomn
это	это	NPRO	neut,sing,accs
это	этот	ADJF	Apro,Subx,Anph,neut,sing,accs
это	этот	ADJF	Apro,Subx,Anph,neut,sing,nomn
вершина	вершина	NOUN	inan,femn,sing,nomn
тесного	тесный	ADJF	Qual,masc,sing,gent
тесного	тесный	ADJF	Qual,anim,masc,sing,accs
тесного	тесный	ADJF	Qual,neut,sing,gent
и	и	CONJ	
плодотворного	плодотворный	ADJF	Qual,masc,sing,gent
плодотворного	плодотворный	ADJF	Qual,anim,masc,sing,accs
плодотворного	плодотворный	ADJF	Qual,neut,sing,gent
сотрудничества	сотрудничество	NOUN	inan,neut,sing,gent
между	между	PREP	
нашими	наш	ADJF	Apro,plur,ablt
странами	страна	NOUN	inan,femn,plur,ablt
.	.	PNCT	
мы	мы	NPRO	1per,plur,nomn
ещё	ещё	PRCL	
ещё	ещё	ADVB	
некоторое	некоторый	ADJF	Apro,neut,sing,accs
некоторое	некоторый	ADJF	Apro,neut,sing,nomn
время	время	NOUN	inan,neut,sing,accs
время	время	NOUN	inan,neut,sing,nomn
разговариваем	разговаривать	VERB	impf,intr,plur,1per,pres,indc
с	с	PREP	
епископом	епископ	NOUN	anim,masc,sing,ablt
лукианом	лукиан	NOUN	anim,masc,Name,sing,ablt
,	,	PNCT	
потом	потом	ADVB	
потом	пот	NOUN	inan,masc,sing,ablt
он	он	NPRO	masc,3per,Anph,sing,nomn
провожает	провожать	VERB	impf,tran,sing,3per,pres,indc
меня	я	NPRO	1per,sing,accs
меня	я	NPRO	1per,sing,gent
до	до	PREP	
ворот	ворота	NOUN	inan,GNdr,Pltm,plur,gent
ворот	ворот	NOUN	inan,masc,sing,nomn
ворот	ворот	NOUN	inan,masc,sing,accs
резиденции	резиденция	NOUN	inan,femn,sing,gent
резиденции	резиденция	NOUN	inan,femn,sing,datv
резиденции	резиденция	NOUN	inan,femn,sing,loct
резиденции	резиденция	NOUN	inan,femn,plur,nomn
резиденции	резиденция	NOUN	inan,femn,plur,accs
,	,	PNCT	
откуда	откуда	ADVB	Ques
навстречу	навстречу	ADVB	
нам	мы	NPRO	1per,plur,datv
идёт	идти	VERB	impf,intr,sing,3per,pres,indc
многочисленный	многочисленный	ADJF	Qual,masc,sing,nomn
многочисленный	многочисленный	ADJF	Qual,inan,masc,sing,accs
и	и	CONJ	
многоязычный	многоязычный	ADJF	Qual,masc,sing,nomn
многоязычный	многоязычный	ADJF	Qual,inan,masc,sing,accs
поток	поток	NOUN	inan,masc,sing,accs
поток	поток	NOUN	inan,masc,sing,nomn
людей	человек	NOUN	anim,masc,plur,gent
людей	человек	NOUN	anim,masc,plur,accs
,	,	PNCT	
желающих	желающий	NOUN	anim,masc,plur,gent
желающих	желающий	NOUN	anim,masc,plur,accs
желающих	желающий	NOUN	anim,masc,plur,loct
желающих	желать	PRTF	impf,tran,pres,actv,plur,gent
желающих	желать	PRTF	impf,tran,pres,actv,anim,plur,accs
желающих	желать	PRTF	impf,tran,pres,actv,plur,loct
осмотреть	осмотреть	INFN	perf,tran
экспонаты	экспонат	NOUN	inan,masc,plur,accs
экспонаты	экспонат	NOUN	inan,masc,plur,nomn
православного	православный	ADJF	neut,sing,gent
православного	православный	ADJF	masc,sing,gent
православного	православный	ADJF	anim,masc,sing,accs
музея	музей	NOUN	inan,masc,sing,gent
и	и	CONJ	
посетить	посетить	INFN	perf,tran
кафедральный	кафедральный	ADJF	inan,masc,sing,accs
кафедральный	кафедральный	ADJF	masc,sing,nomn
собор	собор	NOUN	inan,masc,sing,accs
собор	собор	NOUN	inan,masc,sing,nomn
.	.	PNCT	
многотысячный	многотысячный	ADJF	masc,sing,nomn
многотысячный	многотысячный	ADJF	inan,masc,sing,accs
коллектив	коллектив	NOUN	inan,masc,sing,nomn
коллектив	коллектив	NOUN	inan,masc,sing,accs
``	``	UNKN	
газпрома	газпром	NOUN	inan,masc,Orgn,sing,gent
''	''	PNCT	
денно	денно	ADVB	
и	и	CONJ	
нощно	нощно	ADVB	
трудился	трудиться	VERB	impf,intr,masc,sing,past,indc
над	над	PREP	
поставленной	поставить	PRTF	perf,tran,past,pssv,femn,sing,gent
поставленной	поставить	PRTF	perf,tran,past,pssv,femn,sing,datv
поставленной	поставить	PRTF	perf,tran,past,pssv,femn,sing,ablt
поставленной	поставить	PRTF	perf,tran,past,pssv,femn,sing,loct
задачей	задача	NOUN	inan,femn,sing,ablt
.	.	PNCT	
там	там	ADVB	Dmns
там	там	PRCL	
оставалось	оставаться	VERB	impf,intr,neut,sing,past,indc
ещё	ещё	PRCL	
ещё	ещё	ADVB	
60	60	NUMB	intg
сербских	сербский	ADJF	plur,gent
сербских	сербский	ADJF	anim,plur,accs
сербских	сербский	ADJF	plur,loct
сел	сесть	VERB	perf,intr,masc,sing,past,indc
сёл	село	NOUN	inan,neut,plur,gent
.	.	PNCT	
мы	мы	NPRO	1per,plur,nomn
шли	идти	VERB	impf,intr,plur,past,indc
шли	слать	VERB	impf,tran,sing,impr,excl
в	в	PREP	
бой	бой	NOUN	inan,masc,sing,accs
бой	бой	NOUN	anim,masc,sing,nomn
бой	бой	NOUN	inan,masc,sing,nomn
вместе	вместе	ADVB	
и	и	CONJ	
готовы	готовый	ADJS	Qual,plur
были	быть	VERB	impf,intr,plur,past,indc
пролить	пролить	INFN	perf,tran
кровь	кровь	NOUN	inan,femn,sing,nomn
кровь	кровь	NOUN	inan,femn,sing,accs
друг	друг	NOUN	anim,masc,sing,nomn
за	за	PREP	
друга	друг	NOUN	anim,masc,sing,gent
друга	друг	NOUN	anim,masc,sing,accs
.	.	PNCT	
-	-	PNCT	
какие	какой	ADJF	Apro,plur,nomn
какие	какой	ADJF	Apro,inan,plur,accs
впечатления	впечатление	NOUN	inan,neut,sing,gent
впечатления	впечатление	NOUN	inan,neut,plur,nomn
впечатления	впечатление	NOUN	inan,neut,plur,accs
у	у	PREP	
вас	вы	NPRO	2per,plur,accs
вас	вы	NPRO	2per,plur,gent
вас	вы	NPRO	2per,plur,loct
остались	остаться	VERB	perf,intr,plur,past,indc
от	от	PREP	
москвы	москва	NOUN	inan,femn,Sgtm,Geox,sing,gent
в	в	PREP	
1972	1972	NUMB	intg
году	год	NOUN	inan,masc,sing,loc2
?	?	PNCT	
-	-	PNCT	
по	по	PREP	
удивительному	удивительный	ADJF	Qual,masc,sing,datv
удивительному	удивительный	ADJF	Qual,neut,sing,datv
стечению	стечение	NOUN	inan,neut,sing,datv
обстоятельств	обстоятельство	NOUN	inan,neut,plur,gent
ваш	ваш	ADJF	Apro,masc,sing,nomn
ваш	ваш	ADJF	Apro,inan,masc,sing,accs
олимпийский	олимпийский	ADJF	masc,sing,nomn
олимпийский	олимпийский	ADJF	inan,masc,sing,accs
триумф	триумф	NOUN	inan,masc,sing,nomn
триумф	триумф	NOUN	inan,masc,sing,accs
идеально	идеально	ADVB	
идеально	идеальный	ADJS	Qual,neut,sing
совпал	совпасть	VERB	perf,intr,masc,sing,past,indc
по	по	PREP	
времени	время	NOUN	inan,neut,sing,gent
времени	время	NOUN	inan,neut,sing,datv
времени	время	NOUN	inan,neut,sing,loct
времени	временить	VERB	impf,intr,sing,impr,excl
с	с	PREP	
внедрением	внедрение	NOUN	inan,neut,sing,ablt
современных	современный	ADJF	Qual,plur,gent
современных	современный	ADJF	Qual,plur,loct
современных	современный	ADJF	Qual,anim,plur,accs
поролоновых	поролоновый	ADJF	plur,gent
поролоновых	поролоновый	ADJF	anim,plur,accs
поролоновых	поролоновый	ADJF	plur,loct
матов	матовый	ADJS	Qual,masc,sing
матов	мат	NOUN	inan,masc,plur,gent
.	.	PNCT	
все	весь	ADJF	Apro,plur,nomn
всё	весь	ADJF	Apro,neut,sing,nomn
все	весь	ADJF	Apro,inan,plur,accs
всё	всё	ADVB	
всё	весь	ADJF	Apro,neut,sing,accs
поселение	поселение	NOUN	inan,neut,sing,nomn
поселение	поселение	NOUN	inan,neut,sing,accs
можно	можно	PRED	pres
обойти	обойти	INFN	perf,tran
неторопливым	неторопливый	ADJF	Qual,masc,sing,ablt
неторопливым	неторопливый	ADJF	Qual,neut,sing,ablt
неторопливым	неторопливый	ADJF	Qual,plur,datv
шагом	шагом	ADVB	
шагом	шаг	NOUN	inan,masc,sing,ablt
за	за	PREP	
10	10	NUMB	intg
минут	минута	NOUN	inan,femn,plur,gent
.	.	PNCT	
стабильное	стабильный	ADJF	Qual,neut,sing,nomn
стабильное	стабильный	ADJF	Qual,neut,sing,accs
взаимодействие	взаимодействие	NOUN	inan,neut,sing,nomn
взаимодействие	взаимодействие	NOUN	inan,neut,sing,accs
в	в	PREP	
нефтегазовом	нефтегазовый	ADJF	masc,sing,loct
нефтегазовом	нефтегазовый	ADJF	neut,sing,loct
секторе	сектор	NOUN	inan,masc,sing,loct
является	являться	VERB	impf,intr,sing,3per,pres,indc
общим	общий	ADJF	plur,datv
общим	общий	ADJF	masc,sing,ablt
общим	общий	ADJF	neut,sing,ablt
вкладом	вклад	NOUN	inan,masc,sing,ablt
россии	россия	NOUN	inan,femn,Sgtm,Geox,sing,gent
россии	россия	NOUN	inan,femn,Sgtm,Geox,sing,loct
россии	россия	NOUN	inan,femn,Sgtm,Geox,sing,datv
и	и	CONJ	
венгрии	венгрия	NOUN	inan,femn,Sgtm,Geox,sing,gent
венгрии	венгрия	NOUN	inan,femn,Sgtm,Geox,sing,loct
венгрии	венгрия	NOUN	inan,femn,Sgtm,Geox,sing,datv
в	в	PREP	
обеспечение	обеспечение	NOUN	inan,neut,sing,nomn
обеспечение	обеспечение	NOUN	inan,neut,sing,accs
энергобезопасности	энергобезопасность	NOUN	inan,femn,sing,gent
энергобезопасности	энергобезопасность	NOUN	inan,femn,sing,loct
энергобезопасности	энергобезопасность	NOUN	inan,femn,sing,datv
энергобезопасности	энергобезопасность	NOUN	inan,femn,plur,nomn
энергобезопасности	энергобезопасность	NOUN	inan,femn,plur,accs
европы	европа	NOUN	inan,femn,Sgtm,Geox,sing,gent
.	.	PNCT	
при	при	PREP	
этом	это	NPRO	neut,sing,loct
работа	работа	NOUN	inan,femn,sing,nomn
над	над	PREP	
реализаций	реализация	NOUN	inan,femn,plur,gent
проектов	проект	NOUN	inan,masc,plur,gent
жёстко	жёстко	ADVB	
жёстко	жёсткий	ADJS	Qual,neut,sing
увязывалась	увязываться	VERB	impf,intr,femn,sing,past,indc
с	с	PREP	
достижением	достижение	NOUN	inan,neut,sing,ablt
на	на	PREP	
каждом	каждый	ADJF	Apro,masc,sing,loct
каждом	каждый	ADJF	Apro,neut,sing,loct
этапе	этап	NOUN	inan,masc,sing,loct
целевых	целевой	ADJF	plur,gent
целевых	целевой	ADJF	anim,plur,accs
целевых	целевой	ADJF	plur,loct
показателей	показатель	NOUN	inan,masc,plur,gent
.	.	PNCT	
наверняка	наверняка	ADVB	
наверняка	наверняка	CONJ	Prnt
техника	техника	NOUN	inan,femn,sing,nomn
техника	техник	NOUN	anim,masc,sing,gent
техника	техник	NOUN	anim,masc,sing,accs
была	быть	VERB	impf,intr,femn,sing,past,indc
бы	бы	PRCL	
уже	уже	ADVB	
уже	уже	PRCL	
уже	уж	NOUN	anim,masc,sing,loct
уже	узкий	COMP	Qual
не	не	PRCL	
та	тот	ADJF	Apro,Subx,Anph,femn,sing,nomn
.	.	PNCT	
я	я	NPRO	1per,sing,nomn
я	я	NOUN	anim,masc,Sgtm,Name,Fixd,Abbr,Init,sing,nomn
я	я	NOUN	anim,masc,Sgtm,Name,Fixd,Abbr,Init,sing,gent
я	я	NOUN	anim,masc,Sgtm,Name,Fixd,Abbr,Init,sing,datv
я	я	NOUN	anim,masc,Sgtm,Name,Fixd,Abbr,Init,sing,accs
я	я	NOUN	anim,masc,Sgtm,Name,Fixd,Abbr,Init,sing,ablt
я	я	NOUN	anim,masc,Sgtm,Name,Fixd,Abbr,Init,sing,loct
я	я	NOUN	anim,femn,Sgtm,Name,Fixd,Abbr,Init,sing,nomn
я	я	NOUN	anim,femn,Sgtm,Name,Fixd,Abbr,Init,sing,gent
я	я	NOUN	anim,femn,Sgtm,Name,Fixd,Abbr,Init,sing,datv
я	я	NOUN	anim,femn,Sgtm,Name,Fixd,Abbr,Init,sing,accs
я	я	NOUN	anim,femn,Sgtm,Name,Fixd,Abbr,Init,sing,ablt
я	я	NOUN	anim,femn,Sgtm,Name,Fixd,Abbr,Init,sing,loct
я	я	NOUN	anim,masc,Sgtm,Patr,Fixd,Abbr,Init,sing,nomn
я	я	NOUN	anim,masc,Sgtm,Patr,Fixd,Abbr,Init,sing,gent
я	я	NOUN	anim,masc,Sgtm,Patr,Fixd,Abbr,Init,sing,datv
я	я	NOUN	anim,masc,Sgtm,Patr,Fixd,Abbr,Init,sing,accs
я	я	NOUN	anim,masc,Sgtm,Patr,Fixd,Abbr,Init,sing,ablt
я	я	NOUN	anim,masc,Sgtm,Patr,Fixd,Abbr,Init,sing,loct
я	я	NOUN	anim,femn,Sgtm,Patr,Fixd,Abbr,Init,sing,nomn
я	я	NOUN	anim,femn,Sgtm,Patr,Fixd,Abbr,Init,sing,gent
я	я	NOUN	anim,femn,Sgtm,Patr,Fixd,Abbr,Init,sing,datv
я	я	NOUN	anim,femn,Sgtm,Patr,Fixd,Abbr,Init,sing,accs
я	я	NOUN	anim,femn,Sgtm,Patr,Fixd,Abbr,Init,sing,ablt
я	я	NOUN	anim,femn,Sgtm,Patr,Fixd,Abbr,Init,sing,loct
имею	иметь	VERB	impf,tran,sing,1per,pres,indc
в	в	PREP	
виду	вид	NOUN	inan,masc,sing,loc2
виду	вид	NOUN	inan,masc,sing,datv
виду	вид	NOUN	inan,masc,sing,gen2
наше	наш	ADJF	Apro,neut,sing,nomn
наше	наш	ADJF	Apro,neut,sing,accs
сотрудничество	сотрудничество	NOUN	inan,neut,sing,accs
сотрудничество	сотрудничество	NOUN	inan,neut,sing,nomn
в	в	PREP	
сфере	сфера	NOUN	inan,femn,sing,loct
сфере	сфера	NOUN	inan,femn,sing,datv
энергетики	энергетика	NOUN	inan,femn,sing,gent
энергетики	энергетик	NOUN	anim,masc,plur,nomn
энергетики	энергетика	NOUN	inan,femn,plur,nomn
энергетики	энергетика	NOUN	inan,femn,plur,accs
-	-	PNCT	
